,Course Code,Course Name,Course Description,Instructor(s),Terms Offered,Prerequisite(s),Equivalent Courses,Notes
10,CATA 12300,Catalan for Speakers of Romance Languages II,"This course is intended for speakers of other Romance languages to quickly develop competence in spoken and written Catalan. In this intermediate-level course, students learn ways to apply their skills in another Romance language to mastering Catalan by concentrating on the similarities and differences between the two languages. This course offers a rapid review of the basic patterns of the language and expands on the material presented in CATA 12200.",Staff,Winter,CATA 12200 or consent of instructor.,None,None
11,CATA 21100,"Llengua, societat i cultura I","This advanced-level course will focus on speaking and writing skills through the study of a wide variety of contemporary texts and audiovisual materials. It will provide students with a better understanding of contemporary Catalan society. Students will review problematic grammatical structures, write a number of essays, and participate in multiple class debates. This course satisfies language competency.",Staff,None,"CATA 11200, CATA 12300 or consent of instructor",None,Course not offered in 24-25
12,CATA 21200,"Llengua, societat i cultura II","This advanced-level course will focus on speaking and writing skills through a wide variety of texts and audiovisual materials. We will study a wide range of Catalan cultural manifestations (e.g., visual arts, music, gastronomy). Students will also review advanced grammatical structures, write a number of essays, and participate in multiple class debates. This course satisfies language competency.",Staff,Spring,CATA 21100 or consent of instructor,None,None
13,CATA 23333,Reading Catalan for Research Purposes,"This fast-paced course prepares students to read and do research using texts in Catalan. Students will work on grammar, vocabulary and reading skills, and they will also get introduced to some translation strategies. Part of the texts students will work on will be academic texts in their respective areas of research. This course may fulfill the graduate language requirement in some departments.",None,None,None,None,None
14,CATA 21500,Introduction to Contemporary Catalonia,"This course provides an interdisciplinary survey of contemporary Catalonia. We study a wide range of its cultural manifestations (architecture, paintings, music, arts of the body, literature, the folkloric calendar, cinema, gastronomy) as well as its current political situation and the role that emigration and immigration play in the constitution of the Catalan identity. Attention is also paid to some sociolinguistic issues, such as the coexistence of Catalan and Spanish, and the standarization of Catalan. A couple of sessions will be devoted to acquiring a ""survival Catalan.""",Staff,None,None,None,Course not offered in 24-25
15,CATA 21600,"Catalan Culture and Society: Art, Music, and Cinema","This course provides an interdisciplinary survey of contemporary Catalonia. We study a wide range of its cultural manifestations (architecture, paintings, music, arts of the body, literature, cinema, gastronomy). Attention is also paid to some sociolinguistic issues, such as the coexistence of Catalan and Spanish, and the standardization of Catalan.",Bel Olid,Spring,None,The course will be conducted in English.,"GLST 21601, SPAN 21610"
16,CATA 21950,"Dark Stairways of Desire"": Lusting beyond the Norm in Contemporary Catalan Literature","Although we can find a significant number of authors exploring queer desire and identities throughout the history of Catalan Literature (from lesbian scenes in Joanot Martorell's ""Tirant lo blanc"" to expanding gender identities in Maria Aurèlia Capmany's ""Quim/Quima""), more recent Catalan Literature is blooming with queerness and non-normative lust. This course will give an overview of contemporary Catalan works influenced by feminist and queer debates from the seventies on. Beginning with renowned poet Maria Mercè Marçal's only novel, ""The Passion According to Rennée Vivien,"" winner of several of the most prestigious literary awards for Catalan Literature, we will go on to discover 21st-century works by Eva Baltasar and Anna Punsoda. We will also read poems, short stories and excerpts from authors such as Maria Sevilla, Mireia Calafell, Raquel Santanera, Sebastià Portell, Sil Bel and Ian Bermúdez, among others.",Bel Olid,Winter,None,Taught in English.,"GNSE 23150, SPAN 21950, GLST 21950"
17,CATA 22350,Speaking Truth to Power in Medieval Iberia,"In the multilingual and multireligious environment of the Iberian middle ages, poetry can express many things. And while literary history has granted a prestigious space to some of these things, such as love or spirituality, it has consistently neglected others, such as socio-political satire or vulgarity. This class will be paying attention to that other less talked-about poetry that gets into the political struggles of the period, that talks in profanities about profane things. In other words, the poetry that does not speak to the eternity of existence, but that gets its hands dirty with earthly matters. The poetry that savagely mocks and cuts through social conventions in a way that makes seem contemporary Twitter trolls benevolent in comparison. For this class we will be reading authors who wrote in Galician-Portuguese such as Joao Soares de Paiva or King Alfonso X, authors who wrote in Catalan such as Guillem de Bergueda or Ramon Vidal de Besalu, and authors who wrote in Spanish such as Juan Ruiz or Juan de Mena. Translations to Spanish will be provided or worked though class discussion.",N. Blanco Mourelle,None,None,Course not offered in 24-25,"MDVL 22350, SPAN 22350, CATA 32350, PORT 22350, PORT 32350, SPAN 32350"
18,CATA 23500,Alone in the Mountains: Tales of Freedom and Violence in Contemporary Catalan Literature,"From witches to ""goges"" (""water women""), Catalan folklore shows a tradition of women living on their own in the mountains, liberated from societal conventions. These women are portrayed as fascinating yet threatening figures. This ancient imagery has permeated contemporary literature, manifested in novels that depict women who remove themselves from ""civilization"" to inhabit rural areas of Catalunya, seeking freedom and having to confront at the same time societal norms, abusive partners or even their own personal demons. The mountains, far from ideal and peaceful, are an untamed and often brutal space in which human lives hold no greater value than those of goats, mushrooms, rivers. 
In this course we shall engage with four novels authored by women: ""Solitude (1904) by Victor Català, ""Stone in a Landslide"" (1984) by Maria Barbal, ""When I Sing Mountains Dance"" (2019) by Irene Solà, and ""Alone"" (2021) by Carlota Gurt. Through the analysis of these literary works, we aim to delve into Catalan culture and explore its literary archetypes, while establishing significant connections among these texts and their place in modern and contemporary literature.",Bel Olid,Autumn,None,"Taught in English, but students seeking credit for the HLBS major/minor must do part of the readings and written work in Catalan or Spanish as necessary for their degree.","GNSE 23157, GLST 23500, SPAN 23501"
19,CATA 25605,Inquisiciones,"The Inquisition was, if not the most important juridical and religious institution of premodern Iberia, certainly the most emblematic. In truth, there was not one Inquisition, but many. Without them, terms such as heresy, conversion, or auto-da-fé would not have the currency they do today. These terms are best understood as tools for the disciplining of religious communities and the controlling of the circulation of ideas. This is a class designed to help students understand the Inquisition as a complex historical phenomenon that left a rich archive where anthropological research and theological debate were made to coexist.",Noel Blanco Mourelle,Course not offered in 24-25.,None,Taught in Spanish.,"SPAN 25605, SPAN 35605, CATA 35605"
20,CATA 26525,Literatura política en el Siglo de Oro,TBD,Laia Miralles,Spring,None,"SPAN 36525, CATA 36525, SPAN 26525",None
21,CATA 26555,Self-determination and Democracy in Spain: The Case of Catalonia,"In recent years, tensions between Spain and Catalonia have called attention to a number of long-standing issues that have remained unresolved in modern Spanish cultural and political history: the recognition of national or regional identities, the rights of minority cultures and languages, the nature of democracy and citizenship… This course will study the history of Spanish and Catalan nation-building, as well as the ideological and cultural discourses generated around those projects, and it will pay particular attention to current debates regarding Catalonia's claim to self-determination.",M. Santana,Course not offered in 24-25.,None,"SPAN 36555, CATA 36555, SPAN 26555",None
22,CATA 28024,"Ficción del siglo XX, tradición y canon: la narrativa en catalán","El curso ofrece una introducción al concepto de 'tradición' y a sus mecanismos de funcionamiento, y analiza su relación con la creación literaria contemporánea a partir del estudio de tres obras fundamentales de la narrativa catalana del siglo XX: ""El quadern gris"" de Pla, ""Mirall trencat"" de Mercè Rodoreda y ""Estremida memòria"" de Jesús Moncada. Estas obras de géneros distintos -diario y relato- serán puestas en relación con la ficción contemporánea universal: leeremos los textos de Pla a la luz de la tradición diarista contemporánea, de Woolf o Nin a Walser, Pavese, Gombrowicz, Torga, Ribeyro o Piglia; la novela de Rodoreda, desde el conocimiento de las técnicas experimentales del modernism; y la de Moncada, a través de los universos ficcionales de Faulkner, Bassani, Carpentier, o García Márquez, y de la novela clásica de aventuras de Dumas y Verne. El propósito es contribuir no sólo a clarificar un concepto esencial en las humanidades, como es el de 'tradición', sino a situar en el contexto literario de la ficción internacional tres autores de lengua catalana que han devenido clásicos por su éxito comercial y académico, por el elevado número de traducciones que han merecido, y por su ascendiente en autores posteriores. Estudiaremos el proceso creativo de la ficción contemporánea y sus lazos con la tradición a través de un enfoque comparatista que tiene en cuenta cuestiones como la tensión entre literaturas de lenguas minoritarias y literaturas dominantes.",Javier Aparicio Maydeu,None,None,Taught in Spanish. Course not offered in 24-25.,"SPAN 28024, CATA 38024, CMLT 38024, CMLT 28024, SPAN 38024"
23,CATA 28620,"Fiction, Memory, History: Jaume Cabré's Jo confesso","A detailed reading, analysis, and discussion of Jaume Cabré's Jo confesso (Confessions, 2011), a monumental work of contemporary Catalan literature. We will explore the literary strategies and techniques at play in the novel, as well as its take on the relation between fiction and history, and the representation of memory and loss.",None,Course not offered in 24-25.,None,Course not offered in 24-25,"CATA 38620, SPAN 38620, SPAN 28620"
24,CATA 29300,El ciclo de cuentos en la ficción ibérica contemporánea,"Short stories are usually read as discrete pieces of writing, valued for their individuality and the completeness of their effect on readers.  However, they are not always presented in complete isolation, but come inserted in collections where the company of other stories may create connections similar to those found in larger works of fiction (to the extent that certain groups of short stories can almost be read like novels).  The collection of stories has a long literary tradition, but in the last century a particular form -the so called short story cycle- has emerged as a way of testing the boundaries of extended narratives.  In this course, and through the study of a number of books representative of the short story cycle in Iberian literatures, we will explore the poetics of fiction (short and long) and the formal and interpretative challenges presented by the genre.",Mario Santana,Course not offered in 24-25.,SPAN 20300 or consent of instructor,Taught in Spanish. Course not offered in 24-25.,"BASQ 29300, SPAN 39300, SPAN 29300"
25,CATA 29700,Readings in Special Topics,This course involves directed readings in special topics not covered by courses offered as part of the program in Catalan. Subjects treated and work to be completed for this course must be chosen in consultation with the instructor no later than the end of the preceding quarter.,None,None,"CATA 10300 or 20200, depending upon the requirements of the program for which credit is sought",None,Students are required to submit the College Reading and Research Course Form.
26,CATA 29900,BA Paper Preparation: Catalan,"In consultation with a faculty member, students must devote the equivalent of a one-quarter course to the preparation of a BA project.",None,None,Consent of undergraduate adviser,None,Students are required to submit the College Reading and Research Course Form. Students seeking honors may count this course towards their course requirements. Must be taken for a quality grade.
27,FREN 10100,Beginning Elementary French I,"This course-intended for students who have no previous knowledge of French and for those who need an in-depth review of the very basic patterns of the language-is the first in a three-part language sequence that provides beginning students with a solid foundation in the linguistic and sociocultural norms necessary for everyday communication in the French-speaking world. Our unique method guides students to learn French inductively, through authentic discourse, so that they learn to speak more like native speakers from the very beginning. This course is designed to help students achieve functional competency in speaking, writing, listening, and reading, with a focus on present tense constructions, and to engage students in all three modes of communication (interpersonal, interpretive, and presentational). Exposure to French and Francophone materials will foster cultural awareness and encourage intercultural reflection.",Staff,Autumn Spring Winter,None,None,None
28,FREN 10200,Beginning Elementary French II,"This course-the second in a three-part language sequence that provides beginning students with a solid foundation in the linguistic and sociocultural norms necessary for everyday communication in the French-speaking world-offers a rapid review of the basic patterns of the language, and expands on the material presented in FREN 10100. This course is designed to help students achieve functional competency in speaking, writing, listening, and reading, with a focus on present and past time frames, and to engage students in all three modes of communication (interpersonal, interpretive, and presentational). Students further explore French and Francophone materials that foster cultural awareness and encourage intercultural reflection.",Staff,Autumn Spring Winter,FREN 10100 or placement.,None,None
29,FREN 10300,Beginning Elementary French III,"This course-the last in a three-part sequence that provides beginning students with a solid foundation in the linguistic and sociocultural norms necessary for everyday communication in the French-speaking world-expands on the material presented in FREN 10200, reviewing and elaborating the basic patterns of the language with the aim of developing functional competency in all four skills (speaking, writing, listening, and reading) in most time frames. Students continue to engage in all three modes of communication (interpersonal, interpretive, and presentational), and to explore French and Francophone materials that foster cultural awareness and encourage intercultural reflection. Successful completion of FREN 10300 meets the College's language competence requirement.",Staff,Autumn Spring Winter,FREN 10200 or placement.,None,None
30,FREN 10402,Heritage French : Developing Foundational Skills,"This course is designed to build on heritage learners' skills to prepare them for success in subsequent French courses. Skill areas include in-depth practice in reading and writing, along with review and expansion of targeted grammar structures, and development of precision in vocabulary.",None,Autumn,None,None,"This course satisfies the College Language Competency Requirement. Designed for heritage learners who placed into FREN 10200 or 10300, or who have not studied French formally. Can also be added with instructor consent. No auditors permitted. If course is full, or total enrollment is less than enrollment limit & you can't register, attend on 1st day. Registered students who don't attend on 1st day may lose spot."
31,FREN 12001,Intensive French I,"Intensive French I, II and III: This intensive, three-quarter sequence brings students with no prior background in French to advanced-low levels in all four skills-reading, writing, speaking, and listening-thus preparing students to take third-year level courses in French. Learners who are starting French late in their College careers or who wish to move forward swiftly will gain skills corresponding to two full years of study by completing the entire sequence. Although the three classes constitute a sequence, students may enter the sequence whenever it is appropriate for them based on prior courses or placement exam results. Students may also exit the sequence after any given class and continue in the appropriate course in the Elementary or Intermediate French track. NOTE: Each course is 200 units and corresponds in workload to taking two courses. FREN 12001, the first course in the sequence, covers the equivalent of FREN 10100 and 10200.",Staff,Autumn,"For students with no prior French, or placement in FREN 10100.",None,Course is 200 units and corresponds in workload to taking two courses.
32,FREN 12002,Intensive French II,"Intensive French I, II and III: This intensive, three-quarter sequence brings students with no prior background in French to advanced-low levels in all four skills-reading, writing, speaking, and listening-thus preparing students to take third-year level courses in French. Learners who are starting French late in their College careers or who wish to move forward swiftly will gain skills corresponding to two full years of study by completing the entire sequence. Although the three classes constitute a sequence, students may enter the sequence whenever it is appropriate for them based on prior courses or placement exam results. Students may also exit the sequence after any given class and continue in the appropriate course in the Elementary or Intermediate French track. NOTE: Each course is 200 units and corresponds in workload to taking two courses. FREN 12002, the second course in the sequence, covers the equivalent of FREN 10300 and 20100.",Staff,Winter,"FREN 10200, FREN 12001 or placement in FREN 10300.",None,Course is 200 units and corresponds in workload to taking two courses.
33,FREN 12003,Intensive French III,"Intensive French I, II and III: This intensive, three-quarter sequence brings students with no prior background in French to advanced-low levels in all four skills-reading, writing, speaking, and listening-thus preparing students to take third-year level courses in French. Learners who are starting French late in their College careers or who wish to move forward swiftly will gain skills corresponding to two full years of study by completing the entire sequence. Although the three classes constitute a sequence, students may enter the sequence whenever it is appropriate for them based on prior courses or placement exam results. Students may also exit the sequence after any given class and continue in the appropriate course in the Elementary or Intermediate French track. NOTE: Each course is 200 units and corresponds in workload to taking two courses. FREN 12003, the third course in the sequence, covers the equivalent of FREN 20200 and 20300.",Staff,Spring,"FREN 12002, 14500, 20100, or placement in FREN 20200.",None,Course is 200 units and corresponds in workload to taking two courses.
34,FREN 13333,Reading French for Research Purposes Prerequisite Course,"This course is designed for students without prior experience or training in French who wish to take FREN 33333, Reading French for Research Purposes. In this course, students learn the basics of French grammar and syntax, some basic French vocabulary, and they also begin to learn some of the reading strategies they will need to be successful in FREN 33333. The prerequisite for FREN 33333 is either one year of college-level French language instruction or the equivalent, or successful completion of FREN 13333",None,Autumn Winter,None,None,None
35,FREN 14100,French for Romance Language Speakers,"This course helps students quickly gain skills in spoken and written French by building on their prior working knowledge of another Romance language (Catalan, Italian, Portuguese or Spanish). By relying on the many similarities with other Romance languages, students can focus on mastering the different aspects of French. This class covers content from FREN 10100 and 10200.",Staff,Winter,20100 in another Romance language or consent of instructor. Intended for students with no prior French.,None,None
36,FREN 14300,Phonétique et prononciation,"French sounds nothing like how it's written - until you know the code. Hone your accent and learn the sounds of French in this production-focused course for post-103 students. We will discuss and practice rhythm and intonation patterns as well as individual sounds, and introduce the underlying linguistic concepts that inform them. Towards the end of the course, we will explore varieties of French from around the world and the phonetic features that make them distinct. FREN 14300 satisfies Language Competency.",Staff,Winter,"FREN 10300, 12002 or placement into FREN 20100, 20200, or 20300.",None,Taught in (accessible) French.
37,FREN 14500,French for Global Studies and Economics,"Designed as an alternative to FREN 20100 for students in Business Economics, Global Studies and related fields of study, this four-skills course meets the grammatical objectives of FREN 20100 while equipping students with the basic communication skills and cultural awareness necessary in the areas of international exchange and economics. Through exposure to a wide range of material-including essays, newspaper and journal articles, film reviews, professional writing practices-and interactive exercises including discussions, in-class activities, and group projects in simulated professional situations, students will acquire the linguistic skills and sociocultural knowledge required for engagement in international exchange and business economics as well as to participate in larger debates in the Francophone context.",Staff,Spring,FREN 10300 or placement in FREN 20100.,GLST 24501,None
38,FREN 20100,"Language, History, and Culture I","In this course-the first in the intermediate-level sequence-students will engage in all three modes of communication (interpersonal, interpretive, and presentational) and develop their oral and written skills in describing, narrating, and presenting arguments, reviewing all basic patterns of the language and acquiring new grammatical skills and a broader lexical base to speak and write in depth about leisure activities current and past (including movies), how weekends and vacations used to be spent, and studies. Listening and reading skills are also targeted through a variety of activities. Students will examine French cultural practices and perspectives on these topics, and will do their own research to present other French and Francophone practices and perspectives, which will raise cultural awareness and encourage intercultural reflection.",Staff,Autumn Spring Winter,"FREN 10200, 12001, 14100, or placement into FREN 10300.",None,None
39,FREN 20200,"Language, History, and Culture II","In this course-the second in the intermediate-level sequence-students further develop their descriptive and narrative skills through a variety of texts, audio-visual materials, and activities to speak about the past objectively and subjectively; deepen their knowledge of various cultural practices and perspectives in the French context, including leisure activities, and health and health-care related issues; and learn to express personal and professional plans for the future. Students also carry out their own research to present other French and Francophone practices and perspectives on these same topics, which will enhance cultural awareness and encourage intercultural reflection. Students continue honing all skills (listening, reading, writing, and speaking) and engage in all three modes of communication (interpersonal, interpretive, and presentational).",Staff,Autumn Spring Winter,FREN 20100 or placement.,None,None
40,FREN 20300,"Language, History, and Culture III","In the third and last course of the intermediate sequence, students continue to hone all skills (listening, reading, writing, and speaking) and engage in all three modes of communication (interpersonal, interpretive, and presentational). Students learn how to make hypotheses, express regrets and opinions, craft an argument, narrate and report a conversation or interaction through indirect speech, talk about languages and cultures in the global Francophone context as seen in a variety of texts and audio-visual materials, and begin to master the vocabulary and grammatical structures needed to convey all of that. Additionally, this course helps students develop their skills in understanding and producing written and spoken arguments in French as they read, summarize, and comment on an article of their choice in the Francophone press, and listen to, summarize, and comment on a podcast of their choice in French. Students also carry out their own research drawing on other written and audio sources for a final project on any French or Francophone topic, and participate in a discussion. Thus this course, like the others in the sequence, enhances cultural awareness and encourages intercultural reflection, and furthermore helps students develop academic literacy.",Staff,Autumn Spring Winter,FREN 20200 or placement,None,None
41,FREN 20500,Ecrire en français,"The main goal of this course is to help students acquire advanced grammatical knowledge of the French language and develop their writing skills. This course is strongly recommended for all students who intend to take courses in which writing essays in French is required: French literature classes on campus, the Autumn Paris Civilization program, or the academic yearlong program in Paris. It is also strongly recommended for students who wish to take the advanced proficiency exam in French.",Staff,Autumn Spring Winter,FREN 20300 or placement,None,None
42,FREN 20503,Modes De Raisonnement Francais,TBD,None,None,None,None,Course not offered in 24-25
43,FREN 20601,Expression orale et phonétique,"This course focuses on developing the tools necessary for advanced oral proficiency in an academic context. Through active class participation involving a number of class presentations, students practice a variety of discourse styles (e.g., debates, lectures, seminars, interviews). Special emphasis is placed on correct pronunciation.",Staff,Spring,"FREN 12003, 20300, or placement into FREN 20500.",None,None
44,FREN 20602,Expression orale : Décrire l'art moderne et contemporain en français,"This course explores major contemporary French and francophone artists, art forms and art works. Students will acquire basic linguistic and analytical skills to apprehend visual arts, graphic novels, movies and theatrical performance in French. They will work on individual and group art and academic assignments.",Staff,Autumn,"FREN 12003, 20300, or placement into FREN 20500.",None,Taught in French. A screening and a museum field trip are required.
45,FREN 20604,Expression orale : Parler du monde francophone contemporain,"This course focuses on developing advanced oral proficiency skills in French in the context of contemporary cultural, social and political issues in the Francophone world. As Francophonie is a multifaceted concept that can be approached from various perspectives-institutional, linguistic, geopolitical, cultural, and literary-the course will start with a look at what Francophonie is and means in such places as the Caribbean, Europe, Francophone Africa, and North America. Students will read articles, watch and listen to films, reports, and interviews, engage in discussions and debates, conduct interviews, and carry out projects and presentations on themes of their own choosing within this framework.",Staff,Winter,"FREN 20300, FREN 12003, or placement into FREN 20500",None,None
46,FREN 23333,Reading French for Research Purposes,"Reading French for Research Purposes prepares students to read and do research using scholarly texts in French. Students will build on their fundamental knowledge of French grammar and the most common vocabulary terms used in scholarly writing, while developing reading comprehension skills and working intensively with academic texts in their areas of research specialty. Students who perform well in FREN 33333/23333 will be able to synthesize key points, arguments and evidence in scholarly texts into their own research. The course also includes practice of skills necessary to pass the Academic Reading Comprehension Assessment (ARCA) in French, administered by the Office for Language Assessment (OLA). Undergraduate students have the option of taking the ARCA, or completing a final assignment in which they identify, cite, and describe the relevance of multiple French secondary texts in their discipline or to a specific project. Note: this course can be counted on a case-by-case basis and with approval from the French Undergraduate Adviser.",Staff,None,"PQ for 23333: FREN 10300 or 13333, placement into FREN 20100 or instructor consent. PQ for 33333: FREN 10300 or 13333, placement into FREN 20100, or the equivalent of one year college-level introductory French.",FREN 33333,None
47,FREN 21000,Du Moderne Au Contemporain,TBD,None,None,None,None,Course not offered in 24-25.
48,FREN 21500,Stylistique et analyse littéraire,This course focuses on linguistic and literary problems of textual analysis. It examines literary and stylistic techniques in poetry and prose with concentration on the explication de texte method of literary study.,A. James,None,"FREN 20400 or 20500, plus at least one French literature course",Course not offered in 24-25.,FREN 31500
49,FREN 21503,Approches à l'analyse littéraire,"Dans ce cours nous aborderons des techniques d'analyse littéraire des textes en vers et en prose. En outre, nous nous pencherons sur des écrits métatextuels-ceux qui traitent des aspects formels des ouvrages littéraires, de leur utilité morale et/ou politique, du rapport entre la littérature et la vie dite réelle. La production littéraire est non seulement une activiteé culturelle, intellectuelle, politique, éthique, et aesthétique, mais aussi l'objet d'une reflexion soutenue au cours des siècles.",D. Delogu,None,FREN 20500 or consent of instructor.,Course not offered in 24-25.,FREN 31503
50,FREN 21505,Lire les littératures francophones : éléments d'analyse littéraire,"Ce cours est une initiation aux méthodes et aux techniques d'analyse littéraire. En travaillant sur des textes en vers et en prose issus des littératures francophones du Maghreb, de l'Afrique sub-saharienne et du Moyen-Orient, on apprendra à analyser les formes littéraires, les figures de sens, les procédés esthétiques et stylistiques, les structures et les voix narratives ainsi que les choix syntaxiques et lexicaux. On travaillera également sur des textes théoriques et critiques qui nous permettront d'approfondir nos lectures et de saisir les enjeux littéraires, culturels et intellectuels qui sous-tendent la création littéraire francophone.",Khalid Lyamlahy,None,"FREN 20500, 20503 or consent of instructor.",Taught in French. Course not offered in 24-25.,FREN 31505
51,FREN 21506,Approches à l'analyse littéraire: questionner les classiques,"Ce cours est une initiation aux techniques et méthodes de l'analyse littéraire, prenant le parti de lire, commenter, et questionner des œuvres et textes considérés comme « classiques » en France et dans le monde francophone. On apprendra à analyser les formes littéraires, les figures de style, les procédés esthétiques et stylistiques, les structures et les voix narratives ainsi que les choix syntaxiques et lexicaux. Le cours s'appuiera sur la critique littéraire, avec des auteur·e·s et textes choisi·e·s afin de continuer à interroger la validité de la notion de classique. Qui sont les nouveaux classiques ? Nous ne limiterons pas cette question au contemporain, ou à sa dimension géographique, et remonterons la chronologie linéaire afin de considérer les œuvres qui ont été écartées.",Pauline Goul,None,"FREN 20500, 20503 or consent of instructor.",Taught in French. Course not offered in 24-25.,FREN 31506
52,FREN 21601,"Francophone Caribbean Culture and Society: Art, Music, and Cinema","This course provides an interdisciplinary survey of the contemporary Francophone Caribbean. Students will study a wide range of its cultural manifestations (performing arts like music and dance, literature, cinema, architecture and other visual arts, gastronomy). Attention is also paid to such sociolinguistic issues as the coexistence of French and Kreyòl, and the standardization of Kreyòl.",Gerdine Ulysse,Autumn,None,Taught in English.,"LACS 21600, CRES 21600, GLST 21600, KREY 21600"
